РЕГИСТЪР НА ВЪВЕДЕНИТЕ В ЕКСПЛОАТАЦИЯ СТРОЕЖИ ОТ ЧЕТВЪРТА И ПЕТА КАТЕГОРИЯ,,,
№ и дата на удостоверението,Вх. № на искане за регистрация,Строеж,Местонахождение
1/28.01.2019г.,К-252/28.01.2019г.,Селскостопанска постройка за земеделска техника и инвентар,"ПИ 18157.265.3 по КК                                     гр. Гурково, община Гурково"
2/29.03.2019г.,К-738/25.03.2019г.,Далекосъобщителна мрежа за електронни услуги - подземно трасе,"ПИ 18157.125.738, ПИ 18157.83.498, ПИ 18157.125.752, ПИ 18157.270.17, ПИ 18157.501.922, ПИ 18157.501.904 ПИ 18157.501.896, ПИ 18157.501.892 ПИ 18157.501.893, ПИ 18157.501.891 ПИ 18157.501.421, ПИ 18157.501.445 и ПИ 18157.501.1113 по КК                         гр. Гурково ул. ""Младост"", ул.""Хан Аспарух"", ул.""Патриарх Евтимий"", ул.""Филип Тотьо"", ул. ""Хаджи Димитър Асенов"", ул.""Бузлуджа"", ул.""Отец Паисий Хилендарски"" и ул.""6-ти септември"""
3/28.10.2019г.,К-2807/28.10.2019г.,Хладилен склад,"ПИ 18157.125.949 по КК                                УПИ ХV-949 в кв.125 по ПР                               гр. Гурково, местност ""Гарата"""
4/23.12.2019г.,К-3444/20.12.2019г.,Гараж № 15,"ПИ 18157.501.2137 по КК                                  УПИ Х-2137 в кв. 33 по ПР                          гр. Гурково бул. ""Княз Александър Батенберг"""
,,,
,,2020г.,
,,,
1/15.07.2020г.,К-2284/15.07.2020г.,Магазин за промишлени стоки,"ПИ 18157.79.21 по КККР                         гр.Гурково местност ""Бялкови ниви"""
2/05.08.2020г.,К-2561/05.08.2020г.,"Преустройство на сграда на транспорта в обслужваща сграда към автоснабдителна станция с магазин за пакетирани хранителни стоки, цигари и алкохол","ПИ 18157.501.967 по КККР                  УПИ II-967 в кв.64 по ПР                       гр. Гурково ул. ""Прохода"" № 35"
3/06.08.2020г.,К-2577/06.08.2020г.,"Изграждане на уличното платно на ул. ""Атанас Манчев"" между о.т. 66-67-87-86-85-84-83-82 в гр.Гурково, община Гурково","ПИ 18157.501.885 по КККР                  между о.т.66-67-87-86-85-84-83-82 по ПР                                                           гр.Гурково ул.""Атанас Манчев"""
4/06.08.2020г.,К-2579/06.08.2020г.,"Изграждане на уличното платно и бордюри на ул.""Здравец"" между о.т.187-о.т.1200 и изграждане на уличното платно и бордюри на ул.""Равнец"" между о.т.236-о.т.238 в гр.Гурково, община Гурково","ПИ 18157.501.793; ПИ 18157.501.808 ПИ 18157.501.809; ПИ 18157.501.812 и ПИ 18157.501.825 по КККР               гр. Гурково ул. ""Здравец"" между о.т.187-о.т.1200                                        гр. Гурково ул.""Равнец"" между о.т.-236-о.т.238"
5/07.10.2020г.,К-3305/06.10.2020г.,Автоцентър - първи етап,"ПИ 18157.83.52 по КККР                           гр. Гурково местност ""Дъбравата"""
6/10.12.2020г.,К-4184/10.12.2020г.,Жилищна сграда,"ПИ 38203.501.61 по КККР                     УПИ V-61 в кв. 4 по ПР                                с. Конаре, община Гурково"
,,,
,,2021,
,,,
1/20.01.2021г.,К-224/20.01.2021г.,Жилищна сграда,"ПИ 18157.501.2130 по КККР                           УПИ VІІІ - 2130 в кв. 25 по ПР                         гр. Гурково ул. ""Атанас Манчев"" № 4А"
2/03.02.2021г.,К-399/02.02.2021г.,Склад за строителни материали,"ПИ 18157.79.28 по КККР                                                гр. Гурково, местност ""Бялкови ниви"""
3/17.03.2021г.,К-951/17.03.2021г.,Спорна площадка                                                                                                     І - етап - Изграждане на спортна площадка,"ПИ 22767.501.663 по КККР                          УПИ І в кв. 72 по ПР                                       с. Паничерево ул.""Байкал"" № 16"
4/17.03.2021г.,К-953/17.03.2021г.,Спорна площадка с фитнес уреди на открито                                                                                                  І - етап - Изграждане на спортна площадка,"ПИ 38203.501.786 по КККР                              УПИ ХVІ - 786 в кв. 39 по ПР                                  с.Конаре, община Гурково"
5/05.04.2021г.,К-1180/31.03.2021г.,Пристройка към механичен цех,"ПИ 18157.501.691 по КККР                                    УПИ ХVІІ - 691 в кв. 51 по ПР                        гр. Гурково ул. ""Прохода"" № 29"
6/27.09.2021г.,К-3080/27.09.2021г.,Гараж,"ПИ 18157.501.2178 по КККР                                 УПИ VІІІ - 387 в кв. 30 по ПР                            гр. Гурково ул. ""Генерал Гурко"" № 18"
7/13.10.2021г.,К-3319/13.10.2021г.,"Магазин за хранителни стоки и подпорна стена                                                        Първи етап от ""Магазин за хранителни стоки, офиси и подпорна стена""","ПИ 18157.501.1045 по КККР                          УПИ ХVІІ - 1045 в кв. 26 по ПР                    гр. Гурково бул. ""Княз Александър Батенберг"""
8/01.11.2021г.,К-3481/01.11.2021г.,Къща за гости,"ПИ 22767.222.795 по КККР                        с.Паничерево, община Гурково"
9/15.12.2021г.,К-4019/15.12.2021г.,Къща за гости - преустройство на съществуващи сгради с пристройки и допълващо застрояване - КПИИ,"ПИ 38203.501.793 по КККР                              УПИ І - 45 в кв. 4 по ПР                                  с.Конаре, община Гурково"
10/20.12.2021г.,К-4074/20.12.2021г.,Младежки клуб,"ПИ 18157.501.966 по КККР                       УПИ ХІХ - 966  в кв. 58 по ПР                      гр. Гурково, община Гурково"
11/23.12.2021г.,К-4118/23.12.2021г.,Изграждане и оборудване на спортна площадка с фитнес уреди,"ПИ 18157.501.1060 по КККР                         УПИ ХІІ - 1060 в кв. 36 по ПР                гр. Гурково ул. ""Хан Аспарух"" № 9"
,,,
,,2022,
,,,
1/10.01.2022г.,К-59/10.01.2022г.,Магазин за хранителни стоки,"ПИ 18157.501.872 по КККР                      УПИ VІІІ - 872 в кв. 59 по ПР                 гр. Гурково ул. ""Латинка"" № 14"
2/20.01.2022г.,К-230/19.01.2022г.,Жилищна сграда,"ПИ 29595.501.31  по КККР                    УПИ V - 31 в кв.1 по ПР                       с.Жълтопоп, община Гурково"
3/07.03.2022г.,К-692/02.03.2022г.,Склад за скални материали,"ПИ 18157.125.768 по КККР                   гр. Гурково, община Гурково"
4/11.03.2022г.,К-722/07.03.2022г.,Къща за гости,"ПИ 44776.501.80 по КККР                     УПИ ІІ - 80, 207 в кв. 10   по ПР              с.Лява река, община Гурково"
5/15.08.2022г.,К-2413/12.08.2022г.,Преустройство на лекарски кабинет и магазин за промишлени стоки в магазин за рибарски стоки,"ПИ 18157.501.2185 по КККР                   УПИ ХХІ - 2185 в кв. 26 по ПР                гр.Гурково бул. ""Княз Александър Батенберг"""
6/15.08.2022г.,К-2418/15.08.2022г.,Ваканционно селище                                                                                            І - етап - Вилна сграда,"ПИ 22767.224.100 по КККР                    с.Паничерево, община Гурково"
7/16.11.2022г.,К-3564/16.11.2022г.,Пристройка и преустройство на еднофамилна жилищна сграда и магазин за промишлени стоки,"ПИ 18157.501.851 по КККР                    УПИ ХХІІІ - 851 в кв. 58 по ПР        гр.Гурково ул. ""Латинка"" № 9"
8/28.11.2022г.,К-3806/25.11.2022г.,Жилищна сграда,"ПИ 18157.501.990 по КККР               УПИ ХV - 990 в кв. 36 по ПР              гр.Гурково ул. ""Хан Аспарух"" № 11"
9/28.11.2022г.,К-3816/28.11.2022г.,Автоцентър - втори етап,"ПИ 18157.83.52 по КККР                        гр. Гурково, община Гурково"
,,,
,,2023,
,,,
1/22.02.2023г.,К-596/21.02.2023г.,"Въвеждане на мерки за енергийна ефективност и изграждане на достъпна среда на СУ ""Христо Смирненски"", кв. 41, УПИ І-664         с подобекти :                                                                                                            1. Учебна сграда СУ ""Христо Смирненски"", гр. Гурково                                          2. Физкултурен салон СУ ""Христо Смирненски"", гр. Гурково","ПИ 18157.501.664 по КККР                    УПИ І - 664 в кв. 41 по ПР                   гр. Гурково бул. ""Княз Александър Батенберг"" № 21"
2/10.04.2023г.,К-1107/05.04.2023г.,Преустройство и пристойка на допълващото застрояване - гараж в магазин за хранителни стоки,"ПИ 22767.501.893 по КККР                      УПИ Х - 893 в кв. 49 по ПР             с.Паничерево ул. ""Байкал"" № 8"
3/10.04.2023г.,К-1098/04.04.2023г.,"Цех за производство на кремове, мусове и готварска сметана","ПИ 18157.125.948 по КККР                    гр. Гурково, община Гурково"
4/31.05.2023г.,К-1563/30.05.2023г.,Ремонт на покрив и вътрешно преустройство на тавански етаж в жилищен на съществуваща жилищна сграда,"ПИ 18157.501.605 по КККР                           УПИ V - 605  в кв. 53 по ПР                 гр. Гурково ул. ""1-ви май"" № 18"
5 - не е регестриран,,,
6/05.07.2023г.,К-1903/03.07.2023г.,Еднофамилна жилищна сграда с гараж,"ПИ 18157.501.74 по КККР                           УПИ ХХ - 74  в кв. 5 по ПР                  гр. Гурково ул. ""Любен Каравелов"" № 9"
7/05.07.2023г.,К-1931/05.07.2023г.,Вилна сграда,"ПИ 22767.222.4481 по КККР                  УПИ  І - 4481 в кв. 222 по ПР                с. Паничерево, община Гурково"
8/24.07.2023г.,К-2070/18.07.2023г.,Жилищна сграда,"ПИ 18157.501.2169 по КККР                  УПИ ХVІІ - 2159 в кв. 43 по ПР             гр. Гурково ул. ""Кирил и Методий"" № 7"
9/23.08.2023г.,К-2427/21.08.2023г.,Жилищна сграда с гараж,"ПИ 38203.501.781 по КККР                      УПИ VІІІ - 781 в кв. 3 по ПР                    с. Конаре, община Гурково"
10/11.09.2023г.,К-2576/07.09.2023г.,"Филиал за спешна медицинска помощ /ФСМП/, навес за линейки, козирка, дизел генератор и паркинг                                                /етапно строителство на два етапа/                                                                                       І етап : Филиал за спешна медицинска помощ /ФСМП/, козирка, дизел генератор и паркинг","ПИ 18157.501.2143 по КККР                    УПИ ХVІІ - 2143 в кв. 41 по ПР              гр. Гурково ул. ""1-ви май"" "
11/13.09.2023г.,К-2582/08.09.2023г.,Склад и обработка на   дървен материал и плътна ограда,"ПИ 18157.60.674 по КККР                     гр. Гурково, община Гурково"
12/23.10.2023г.,К-2960/23.10.2023г.,"Преустройство, пристройка и надстройка на крайпътен обект          / снекар /","ПИ 58894.102.690 по КККР                       с. Пчелиново, община Гурково"
13/18.12.2023г.,К-3545/15.12.2023г.,Жилищна сграда,"ПИ 22767.501.279 по КККР                      УПИ ІІ - 279 в кв. 20 по ПР             с.Паничерево ул. ""Язовирна"" № 20"
14/18.12.2023г.,К-3547/15.12.2023г.,Вилна сграда,"ПИ 22767.222.4482 по КККР                  УПИ  ІІ - 4482 в кв. 222 по ПР                с. Паничерево, община Гурково"
,,,
,,2024,
,,,
1/25.03.2024г.,К-973/22.03.2024г.,Еднофамилна жилищна сграда,"ПИ 21124.501.168 по КККР                    УПИ ХІV - 168 в кв. 3 по ПР      с.Димовци, община Гурково"
2/15.04.2024г.,К-1137/09.04.2024г.,Овцеферма,"ПИ 22767.4.4 по КККР                             с.Паничерево, община Гурково"
